content_id,title,series_title,network,content_type,genre,season_number,episode_number,runtime_minutes,premiere_date,is_original
100068,Capital Report,Capital Report,Meridian News,news_program,Business News,,,30,2024-12-07,true
100069,Market Signal,Market Signal,Meridian News,news_program,Politics,,,60,2025-12-03,false
100070,Daily Watch,Daily Watch,Meridian News,news_program,Politics,,,30,2025-03-19,false
100071,Evening Hour,Evening Hour,Meridian News,news_program,Business News,,,30,2026-05-01,true
100072,Closing Roundtable,Closing Roundtable,Meridian News,news_program,Business News,,,60,2023-03-01,true
100073,Daily Report,Daily Report,Meridian News,news_program,Politics,,,60,2023-02-24,true
100074,Closing Brief,Closing Brief,Meridian News,live_block,Personal Finance,,,60,2026-03-18,true
100075,Market Desk,Market Desk,Meridian News,news_program,Personal Finance,,,60,2024-02-01,true
100076,Capital Exchange,Capital Exchange,Meridian News,live_block,Personal Finance,,,60,2022-12-31,true
100077,Closing Signal,Closing Signal,Meridian News,news_program,Business News,,,30,2023-04-18,false
100078,Balance Exchange,Balance Exchange,Meridian News,news_program,Personal Finance,,,60,2023-11-11,false
100079,Market Bell,Market Bell,Meridian News,live_block,Politics,,,60,2023-05-28,false
100080,Market Brief,Market Brief,Meridian News,live_block,Personal Finance,,,120,2024-02-25,false
100081,Closing Hour,Closing Hour,Meridian News,news_program,Personal Finance,,,60,2024-10-30,false
100082,Evening Roundtable,Evening Roundtable,Meridian News,live_block,Politics,,,60,2024-11-12,true
100083,Market Roundtable,Market Roundtable,Meridian News,news_program,Politics,,,60,2025-07-30,false
100084,Opening Report,Opening Report,Meridian News,news_program,Business News,,,60,2023-11-30,true
100085,Capital Brief,Capital Brief,Meridian News,live_block,Personal Finance,,,120,2023-07-14,false
100086,Opening Hour,Opening Hour,Meridian News,news_program,Business News,,,60,2025-02-05,false
100087,Capital Hour,Capital Hour,Meridian News,news_program,Politics,,,30,2023-04-09,false
100088,Morning Roundtable,Morning Roundtable,Meridian News,news_program,Politics,,,60,2025-01-16,false
