household_id,dma,subscription_tier,primary_device,signup_date,is_active
41,Hartford CT,Premium,Android phone,2024-08-25,true
42,Portland OR,Basic,Roku,2022-06-04,true
43,Minneapolis MN,Standard,iPhone,2024-06-03,true
44,Atlanta GA,Basic,Samsung TV,2022-10-17,true
45,Boston MA,Standard,Web browser,2023-06-28,true
46,Columbus OH,Standard,iPad,2026-01-30,true
47,Dallas-Ft Worth TX,Basic,Web browser,2023-11-16,true
48,Baltimore MD,Premium,iPad,2022-11-10,false
49,Detroit MI,Basic,Samsung TV,2026-02-07,true
50,Portland OR,Basic,Android phone,2023-01-11,false
51,Portland OR,Basic,Roku,2026-03-15,true
52,Hartford CT,Standard,iPhone,2022-11-21,true
53,Atlanta GA,Basic,Roku,2023-03-31,true
54,Seattle WA,Standard,Android phone,2026-01-01,true
55,Seattle WA,Basic,Web browser,2023-07-08,true
56,Providence RI,Premium,Android phone,2026-02-25,true
57,Denver CO,Premium Ad-Free,iPad,2024-03-14,true
58,Hartford CT,Standard,Fire TV Stick,2022-08-30,true
59,Minneapolis MN,Standard,Web browser,2025-10-07,true
60,Detroit MI,Premium,iPhone,2025-11-27,true
61,St Louis MO,Premium Ad-Free,Android phone,2024-10-29,true
62,Minneapolis MN,Standard,iPad,2025-01-23,true
63,Atlanta GA,Premium,Android phone,2026-06-13,true
64,Columbus OH,Premium,Apple TV,2024-09-07,true
65,Dallas-Ft Worth TX,Premium,iPhone,2025-07-14,true
66,Los Angeles CA,Standard,Android phone,2026-02-13,true
67,St Louis MO,Basic,iPad,2025-06-18,false
68,Atlanta GA,Basic,Samsung TV,2026-07-27,true
69,Boston MA,Standard,iPhone,2022-09-13,true
70,Seattle WA,Standard,iPhone,2022-05-11,true
71,Portland OR,Standard,Roku,2025-01-25,true
72,Hartford CT,Standard,Roku,2022-11-12,true
73,Seattle WA,Standard,Roku,2024-08-30,true
74,New York NY,Premium,Android phone,2022-09-17,true
75,Detroit MI,Basic,Samsung TV,2025-11-28,false
76,Seattle WA,Basic,iPad,2025-06-05,true
77,Los Angeles CA,Premium,Android phone,2023-06-17,true
78,Philadelphia PA,Premium,Fire TV Stick,2025-09-15,false
79,Phoenix AZ,Premium Ad-Free,Roku,2023-02-04,false
80,Detroit MI,Premium,Apple TV,2024-10-25,true
81,St Louis MO,Premium,Web browser,2024-11-28,true
82,Dallas-Ft Worth TX,Basic,Roku,2024-09-11,true
83,Hartford CT,Standard,Fire TV Stick,2023-03-17,true
84,Nashville TN,Basic,Roku,2026-08-20,true
85,Miami FL,Standard,Samsung TV,2023-05-30,true
86,Minneapolis MN,Premium Ad-Free,Web browser,2023-04-15,true
87,Boston MA,Standard,Android phone,2023-02-08,true
88,Los Angeles CA,Standard,Samsung TV,2022-05-07,true
89,Portland OR,Basic,Fire TV Stick,2023-04-11,true
90,Nashville TN,Basic,Apple TV,2024-05-15,true
91,Dallas-Ft Worth TX,Basic,iPhone,2024-08-22,true
92,Nashville TN,Basic,Apple TV,2024-12-23,true
93,Nashville TN,Premium Ad-Free,Android phone,2023-01-30,true
94,Atlanta GA,Standard,Web browser,2024-12-16,true
95,Baltimore MD,Premium,Fire TV Stick,2024-03-07,true
96,Chicago IL,Standard,Apple TV,2026-03-30,true
97,Philadelphia PA,Basic,Fire TV Stick,2025-04-14,true
98,Detroit MI,Basic,Android phone,2025-07-04,true
99,Miami FL,Premium,Samsung TV,2024-10-10,true
100,New York NY,Basic,Apple TV,2024-06-26,true
101,Nashville TN,Premium,Fire TV Stick,2023-07-23,true
102,Hartford CT,Basic,Roku,2024-10-15,true
103,Nashville TN,Standard,Samsung TV,2026-01-03,true
104,Providence RI,Premium,Android phone,2024-04-19,true
105,Portland OR,Basic,Fire TV Stick,2026-06-03,true
106,Portland OR,Basic,Roku,2022-12-26,true
107,Portland OR,Premium Ad-Free,Samsung TV,2023-04-29,true
108,Detroit MI,Basic,Android phone,2025-09-07,true
109,Seattle WA,Standard,Apple TV,2025-07-09,true
110,Minneapolis MN,Standard,Apple TV,2026-07-16,true
111,Chicago IL,Basic,Fire TV Stick,2025-01-30,true
112,Portland OR,Premium,Android phone,2026-06-29,true
113,Phoenix AZ,Premium,iPad,2022-08-10,true
114,Seattle WA,Standard,iPad,2026-01-29,true
115,Denver CO,Premium,iPhone,2023-10-22,true
116,Phoenix AZ,Basic,Android phone,2024-03-10,true
117,Providence RI,Basic,Samsung TV,2025-08-19,true
118,New York NY,Standard,Roku,2023-03-01,true
119,Philadelphia PA,Premium Ad-Free,Apple TV,2026-03-09,true
120,New York NY,Basic,Android phone,2022-10-27,true
121,Dallas-Ft Worth TX,Basic,Android phone,2023-06-16,true
122,Detroit MI,Standard,Web browser,2023-11-29,true
123,Detroit MI,Premium,Web browser,2022-11-08,true
124,Seattle WA,Basic,Fire TV Stick,2024-11-30,true
125,Baltimore MD,Standard,Roku,2025-06-10,true
126,Phoenix AZ,Premium,Apple TV,2025-12-27,false
127,Boston MA,Standard,Web browser,2022-08-29,true
128,Portland OR,Basic,iPad,2024-12-02,true
129,Phoenix AZ,Basic,Roku,2023-01-26,false
130,Miami FL,Standard,Fire TV Stick,2025-03-21,true
131,Phoenix AZ,Standard,iPhone,2022-07-12,true
132,Phoenix AZ,Premium,Android phone,2022-11-23,true
133,Boston MA,Standard,Web browser,2025-04-29,true
134,Phoenix AZ,Standard,iPad,2024-07-20,true
135,Portland OR,Premium Ad-Free,Fire TV Stick,2023-03-23,true
136,Los Angeles CA,Standard,Roku,2025-09-05,false
137,Miami FL,Standard,Android phone,2026-07-22,true
138,Providence RI,Premium,iPhone,2025-05-29,true
139,Los Angeles CA,Basic,Web browser,2024-02-07,true
140,Dallas-Ft Worth TX,Premium,iPhone,2026-01-25,true
141,Columbus OH,Premium,iPhone,2025-03-20,false
142,Philadelphia PA,Basic,Apple TV,2022-09-07,true
143,Chicago IL,Standard,Roku,2026-05-02,true
144,Dallas-Ft Worth TX,Basic,Web browser,2026-06-10,true
145,Columbus OH,Basic,iPad,2024-10-28,true
146,Baltimore MD,Standard,Fire TV Stick,2026-08-08,true
147,Providence RI,Basic,Android phone,2026-07-16,true
148,Philadelphia PA,Premium,Apple TV,2025-11-12,true
149,Nashville TN,Premium,Samsung TV,2026-03-20,true
150,Boston MA,Premium,iPad,2023-02-24,true
151,Baltimore MD,Basic,iPad,2026-02-16,true
152,Chicago IL,Basic,Fire TV Stick,2024-05-23,true
153,St Louis MO,Basic,Apple TV,2023-08-10,true
154,Chicago IL,Basic,iPad,2023-12-14,false
155,Dallas-Ft Worth TX,Premium Ad-Free,Web browser,2023-10-30,true
156,Detroit MI,Standard,Roku,2025-02-09,true
157,New York NY,Basic,iPad,2022-10-24,true
158,Phoenix AZ,Premium,Samsung TV,2026-05-12,true
159,Denver CO,Standard,iPhone,2026-03-12,true
160,Portland OR,Basic,Roku,2022-12-15,true
161,Columbus OH,Basic,Android phone,2026-05-13,true
162,Detroit MI,Standard,Android phone,2025-10-29,true
163,Dallas-Ft Worth TX,Premium,Android phone,2025-11-28,true
164,Dallas-Ft Worth TX,Basic,iPad,2026-07-07,true
165,Dallas-Ft Worth TX,Premium,Web browser,2026-02-25,true
166,Nashville TN,Premium,iPad,2024-03-07,true
167,Los Angeles CA,Premium,Android phone,2023-10-19,true
168,Hartford CT,Basic,Web browser,2026-04-19,true
169,Los Angeles CA,Basic,Android phone,2022-08-01,true
170,Providence RI,Premium,Android phone,2026-03-30,true
171,New York NY,Basic,iPhone,2023-09-08,true
172,Boston MA,Standard,iPad,2023-03-13,true
173,Portland OR,Premium,Roku,2024-05-28,true
174,Minneapolis MN,Basic,iPhone,2024-07-13,true
175,Detroit MI,Premium,Samsung TV,2026-03-09,true
176,Seattle WA,Premium Ad-Free,Web browser,2025-08-12,true
177,Minneapolis MN,Premium,Roku,2022-12-24,true
178,Hartford CT,Standard,Android phone,2025-02-24,true
179,St Louis MO,Premium,Fire TV Stick,2026-07-05,true
180,Denver CO,Standard,Web browser,2023-07-03,true
181,St Louis MO,Premium,iPad,2023-09-13,true
182,Hartford CT,Premium,Fire TV Stick,2026-05-16,true
183,Seattle WA,Premium,iPad,2026-06-09,true
184,Detroit MI,Basic,Samsung TV,2026-02-25,true
185,Seattle WA,Basic,Web browser,2026-06-09,false
186,Dallas-Ft Worth TX,Basic,Android phone,2023-12-29,true
187,Hartford CT,Standard,Roku,2026-01-31,true
188,Atlanta GA,Standard,Fire TV Stick,2024-01-12,true
189,Philadelphia PA,Standard,Samsung TV,2025-11-23,true
190,Los Angeles CA,Standard,Fire TV Stick,2022-06-14,true
191,Detroit MI,Premium,Fire TV Stick,2023-07-09,false
192,Miami FL,Premium,Web browser,2025-01-14,true
193,Miami FL,Basic,iPad,2024-10-20,true
194,Atlanta GA,Premium,Samsung TV,2026-05-18,true
195,Columbus OH,Standard,Fire TV Stick,2026-06-03,true
196,Boston MA,Standard,Fire TV Stick,2024-05-01,true
197,Los Angeles CA,Basic,Web browser,2026-07-24,true
198,New York NY,Premium,Apple TV,2023-11-24,true
199,Los Angeles CA,Premium Ad-Free,Roku,2025-01-01,true
200,Columbus OH,Premium,Samsung TV,2026-01-20,true
201,Atlanta GA,Premium,Samsung TV,2024-05-04,true
202,St Louis MO,Premium Ad-Free,iPhone,2024-04-07,true
203,Seattle WA,Standard,Apple TV,2023-06-06,true
204,Detroit MI,Standard,Web browser,2025-10-20,true
205,Seattle WA,Standard,Android phone,2024-04-16,true
206,Chicago IL,Premium Ad-Free,Web browser,2023-01-02,true
207,Portland OR,Basic,Apple TV,2025-06-28,true
208,Columbus OH,Standard,Android phone,2023-01-17,true
209,Chicago IL,Premium,Apple TV,2023-07-13,true
210,Portland OR,Basic,Android phone,2024-10-19,true
211,Chicago IL,Premium,Android phone,2022-11-02,true
212,Minneapolis MN,Standard,Apple TV,2022-06-23,true
213,Portland OR,Premium Ad-Free,Web browser,2025-08-19,true
214,Dallas-Ft Worth TX,Premium,iPad,2022-06-02,true
215,Minneapolis MN,Basic,Web browser,2026-08-25,true
216,Chicago IL,Premium,Fire TV Stick,2026-02-05,false
217,Boston MA,Basic,Android phone,2026-06-21,true
218,Boston MA,Standard,Roku,2025-01-25,true
219,Dallas-Ft Worth TX,Standard,Roku,2022-08-09,true
220,St Louis MO,Premium,Web browser,2024-01-23,true
221,New York NY,Basic,Fire TV Stick,2023-12-28,true
222,Seattle WA,Basic,iPad,2026-04-16,true
223,Minneapolis MN,Standard,Samsung TV,2024-06-04,false
224,Philadelphia PA,Standard,Apple TV,2025-01-01,true
225,Minneapolis MN,Standard,Roku,2024-08-01,true
226,Los Angeles CA,Basic,Android phone,2025-07-12,true
227,Nashville TN,Standard,Android phone,2025-10-14,true
228,Phoenix AZ,Premium,Samsung TV,2022-07-16,true
229,Denver CO,Basic,iPad,2024-03-29,true
230,Hartford CT,Standard,Apple TV,2024-11-16,true
231,Seattle WA,Premium Ad-Free,iPhone,2026-05-04,true
232,Baltimore MD,Basic,Apple TV,2023-05-11,true
233,Providence RI,Premium,iPhone,2024-08-12,true
234,Portland OR,Basic,Fire TV Stick,2024-12-26,true
235,Seattle WA,Premium,Samsung TV,2023-10-10,true
236,Minneapolis MN,Premium,iPhone,2026-02-01,true
237,Detroit MI,Premium,iPhone,2024-05-08,true
238,Dallas-Ft Worth TX,Basic,Samsung TV,2022-12-04,true
239,Los Angeles CA,Standard,Android phone,2024-08-25,true
240,Miami FL,Premium,iPhone,2026-08-28,true
241,New York NY,Basic,Apple TV,2025-08-30,true
242,Phoenix AZ,Basic,Fire TV Stick,2026-06-01,true
243,Boston MA,Basic,Android phone,2024-06-29,true
244,Miami FL,Premium Ad-Free,Web browser,2025-01-30,true
245,Miami FL,Standard,iPad,2026-01-31,true
246,Boston MA,Standard,Android phone,2023-09-08,true
247,Portland OR,Premium,Web browser,2025-11-22,true
248,Dallas-Ft Worth TX,Standard,Web browser,2025-03-07,true
249,Portland OR,Standard,iPhone,2022-05-21,true
250,Providence RI,Standard,Roku,2026-05-16,true
251,Hartford CT,Standard,Android phone,2025-08-02,true
252,Seattle WA,Basic,iPhone,2025-04-13,true
253,Hartford CT,Premium,Apple TV,2024-06-16,true
254,Los Angeles CA,Premium,iPad,2025-08-06,true
255,Detroit MI,Standard,iPad,2022-06-18,true
256,New York NY,Standard,Apple TV,2026-08-20,true
257,Detroit MI,Basic,Samsung TV,2022-07-23,true
258,New York NY,Premium Ad-Free,Fire TV Stick,2024-05-06,false
259,Hartford CT,Premium,Fire TV Stick,2026-06-29,true
260,Phoenix AZ,Premium,Apple TV,2026-02-25,true
261,Portland OR,Basic,Apple TV,2026-03-19,true
262,Hartford CT,Basic,Apple TV,2025-05-31,true
263,Chicago IL,Basic,Fire TV Stick,2025-03-20,true
264,St Louis MO,Basic,Samsung TV,2023-11-19,true
265,Columbus OH,Basic,iPhone,2025-04-24,true
266,Phoenix AZ,Basic,Apple TV,2023-07-10,false
267,Dallas-Ft Worth TX,Premium Ad-Free,iPhone,2025-05-21,true
268,Los Angeles CA,Basic,Apple TV,2025-07-08,true
269,Miami FL,Basic,Android phone,2025-06-19,true
270,Phoenix AZ,Premium,Android phone,2025-03-26,true
271,Chicago IL,Standard,Web browser,2023-01-13,false
272,Providence RI,Premium,Roku,2025-08-03,true
273,Hartford CT,Standard,iPad,2025-06-23,true
274,Columbus OH,Premium,Apple TV,2022-07-09,true
275,Dallas-Ft Worth TX,Standard,Roku,2023-10-31,true
276,Seattle WA,Standard,Android phone,2025-10-31,true
277,Seattle WA,Standard,Fire TV Stick,2022-11-26,true
278,Portland OR,Standard,Fire TV Stick,2025-11-12,true
279,Boston MA,Standard,Web browser,2025-12-15,true
280,Boston MA,Standard,Fire TV Stick,2024-09-24,true
281,Chicago IL,Basic,iPhone,2023-09-01,true
282,Seattle WA,Premium,Fire TV Stick,2025-11-02,true
283,Detroit MI,Basic,Roku,2023-05-26,true
284,Seattle WA,Basic,Roku,2025-12-24,true
285,Dallas-Ft Worth TX,Basic,Roku,2023-04-11,true
286,St Louis MO,Premium,Samsung TV,2026-03-30,true
287,Hartford CT,Basic,Samsung TV,2024-08-25,true
288,Phoenix AZ,Standard,Roku,2023-11-21,true
289,Denver CO,Premium,Apple TV,2025-07-05,true
290,Seattle WA,Basic,Apple TV,2024-01-04,true
291,Nashville TN,Premium,iPhone,2023-09-05,true
292,Chicago IL,Basic,Web browser,2023-11-05,true
293,Columbus OH,Basic,Android phone,2024-12-09,true
294,Los Angeles CA,Standard,Web browser,2023-04-25,true
295,Denver CO,Premium,Fire TV Stick,2023-06-29,true
296,Denver CO,Basic,Fire TV Stick,2025-03-31,true
297,Nashville TN,Standard,iPad,2023-06-27,true
298,Dallas-Ft Worth TX,Basic,Apple TV,2022-09-07,true
299,Chicago IL,Standard,iPad,2023-02-15,true
300,Providence RI,Standard,Samsung TV,2023-06-27,true
301,Atlanta GA,Standard,Fire TV Stick,2023-05-05,true
302,Nashville TN,Standard,iPad,2023-03-06,true
303,Providence RI,Basic,iPhone,2025-05-29,true
304,Baltimore MD,Standard,iPad,2023-07-16,true
305,Denver CO,Standard,Samsung TV,2025-10-17,true
306,New York NY,Standard,Fire TV Stick,2025-02-08,true
307,Los Angeles CA,Basic,Android phone,2022-08-13,true
308,Phoenix AZ,Standard,Roku,2025-06-07,true
309,Los Angeles CA,Standard,Android phone,2023-01-04,true
310,New York NY,Basic,Samsung TV,2024-10-30,false
311,Detroit MI,Basic,iPad,2025-10-01,true
312,Detroit MI,Standard,iPad,2026-03-28,true
313,New York NY,Premium,Samsung TV,2024-04-14,true
314,Chicago IL,Basic,Web browser,2024-09-14,true
315,Philadelphia PA,Premium,Roku,2024-06-12,true
316,Detroit MI,Standard,Roku,2026-06-21,true
317,Minneapolis MN,Premium,Web browser,2025-07-01,true
318,Minneapolis MN,Standard,iPhone,2026-08-22,true
319,St Louis MO,Standard,Samsung TV,2025-05-08,true
320,Portland OR,Standard,Fire TV Stick,2022-08-18,true
321,Los Angeles CA,Premium,Apple TV,2025-12-31,true
322,New York NY,Standard,Android phone,2023-09-04,true
323,Miami FL,Standard,iPad,2026-08-19,true
324,St Louis MO,Standard,Web browser,2024-03-24,true
325,Columbus OH,Premium,Samsung TV,2022-09-03,true
326,Philadelphia PA,Basic,Samsung TV,2025-03-08,true
327,Philadelphia PA,Standard,Fire TV Stick,2025-10-21,true
328,Providence RI,Standard,Roku,2024-03-10,true
329,New York NY,Premium,Samsung TV,2025-06-14,true
330,Phoenix AZ,Standard,iPhone,2022-10-20,true
331,Denver CO,Standard,Roku,2022-12-26,true
332,Atlanta GA,Premium Ad-Free,Samsung TV,2023-11-02,true
333,Los Angeles CA,Standard,Android phone,2023-11-23,true
334,Nashville TN,Basic,iPad,2024-01-20,true
335,Seattle WA,Basic,Web browser,2023-06-24,true
336,Nashville TN,Basic,Apple TV,2024-08-31,true
337,Columbus OH,Basic,Samsung TV,2022-06-18,true
338,Los Angeles CA,Standard,iPad,2025-02-28,true
339,Philadelphia PA,Premium,Android phone,2026-08-14,true
340,Columbus OH,Premium,Apple TV,2023-08-21,true
341,Miami FL,Basic,Android phone,2023-10-17,true
342,Chicago IL,Standard,Fire TV Stick,2022-06-01,true
343,Miami FL,Basic,Samsung TV,2024-12-12,true
344,Denver CO,Premium Ad-Free,Apple TV,2024-10-26,true
345,St Louis MO,Basic,Web browser,2024-03-24,true
346,Chicago IL,Standard,Roku,2024-12-17,true
347,Columbus OH,Basic,iPad,2023-04-06,true
348,St Louis MO,Standard,Apple TV,2024-10-21,true
349,Hartford CT,Standard,Roku,2023-04-08,true
350,Hartford CT,Premium,Android phone,2024-10-25,true
351,Denver CO,Basic,Android phone,2025-09-07,true
352,Providence RI,Premium,Fire TV Stick,2022-05-16,true
353,Chicago IL,Standard,Roku,2024-05-19,true
354,Dallas-Ft Worth TX,Premium,Roku,2023-08-08,true
355,Columbus OH,Premium,Samsung TV,2024-02-06,true
356,Columbus OH,Premium Ad-Free,Fire TV Stick,2025-02-07,true
357,Hartford CT,Basic,Android phone,2022-06-15,true
358,Baltimore MD,Basic,Roku,2025-01-19,true
359,Boston MA,Basic,iPad,2022-05-12,true
360,Minneapolis MN,Basic,iPad,2024-10-17,true
361,Nashville TN,Standard,Android phone,2026-07-24,true
362,Baltimore MD,Premium Ad-Free,Web browser,2026-07-01,false
363,Philadelphia PA,Premium Ad-Free,Web browser,2022-06-12,true
364,Baltimore MD,Standard,Roku,2024-05-17,true
365,New York NY,Standard,Apple TV,2024-12-24,true
366,Denver CO,Premium,iPad,2023-02-24,true
367,Seattle WA,Premium Ad-Free,Apple TV,2023-12-27,false
368,Los Angeles CA,Basic,Android phone,2023-10-20,true
369,Providence RI,Standard,iPad,2023-09-10,true
370,Portland OR,Premium,Web browser,2025-10-19,true
371,Los Angeles CA,Basic,Apple TV,2026-04-11,false
372,Detroit MI,Standard,Apple TV,2023-07-05,false
373,Dallas-Ft Worth TX,Premium Ad-Free,Roku,2026-07-25,true
374,Atlanta GA,Premium Ad-Free,Apple TV,2023-07-19,true
375,Baltimore MD,Premium,Apple TV,2026-02-04,true
376,Boston MA,Premium,Samsung TV,2025-07-10,true
377,Minneapolis MN,Basic,Samsung TV,2023-08-06,true
378,Minneapolis MN,Basic,iPad,2023-12-18,true
379,Atlanta GA,Standard,iPad,2023-04-12,true
380,Chicago IL,Standard,Android phone,2024-01-06,true
381,Providence RI,Standard,Roku,2026-06-14,true
382,St Louis MO,Standard,Samsung TV,2023-01-10,false
383,St Louis MO,Standard,Android phone,2025-09-22,true
384,Philadelphia PA,Premium,Fire TV Stick,2026-01-26,true
385,Providence RI,Basic,Samsung TV,2022-11-09,false
386,New York NY,Basic,Android phone,2025-10-25,true
387,Boston MA,Basic,iPad,2024-05-04,true
388,Nashville TN,Basic,iPad,2024-07-22,true
389,Baltimore MD,Premium,Samsung TV,2023-05-01,true
390,Hartford CT,Standard,Samsung TV,2026-06-20,true
391,Minneapolis MN,Basic,Samsung TV,2026-03-13,true
392,Hartford CT,Premium,Android phone,2024-11-10,true
393,Atlanta GA,Standard,Samsung TV,2024-08-11,true
394,Phoenix AZ,Basic,Samsung TV,2023-04-01,true
395,Minneapolis MN,Basic,Fire TV Stick,2024-01-14,true
396,Baltimore MD,Basic,Samsung TV,2026-01-06,true
397,Providence RI,Standard,Fire TV Stick,2022-06-04,true
398,Hartford CT,Basic,iPhone,2024-09-01,true
399,Chicago IL,Basic,Web browser,2022-06-26,true
400,Los Angeles CA,Basic,iPad,2022-05-18,true
401,Columbus OH,Standard,Samsung TV,2026-06-08,true
402,Portland OR,Basic,Web browser,2024-06-20,true
403,Los Angeles CA,Premium,Web browser,2024-10-31,true
404,Columbus OH,Basic,Samsung TV,2024-07-02,true
405,Seattle WA,Standard,iPad,2025-04-26,true
406,Denver CO,Standard,Apple TV,2024-03-29,true
407,Dallas-Ft Worth TX,Standard,Web browser,2024-07-12,true
408,New York NY,Basic,Apple TV,2025-11-08,true
409,St Louis MO,Premium,Apple TV,2025-05-30,true
410,Providence RI,Premium,Fire TV Stick,2026-01-08,true
411,Hartford CT,Basic,iPad,2023-01-04,true
412,Philadelphia PA,Basic,Apple TV,2023-09-23,true
413,Chicago IL,Premium,iPad,2024-12-24,true
414,New York NY,Standard,Roku,2024-12-11,true
415,Providence RI,Basic,iPhone,2026-04-26,true
416,Detroit MI,Basic,Samsung TV,2025-05-27,true
417,Columbus OH,Standard,Samsung TV,2022-08-29,true
418,New York NY,Premium,Fire TV Stick,2026-07-10,false
419,Chicago IL,Standard,Roku,2026-01-10,true
420,Denver CO,Premium Ad-Free,Apple TV,2022-12-31,true
421,St Louis MO,Standard,Samsung TV,2024-05-28,true
422,Detroit MI,Basic,iPad,2026-07-08,true
423,Portland OR,Standard,Samsung TV,2024-07-16,true
424,Phoenix AZ,Standard,Fire TV Stick,2023-06-01,true
425,Dallas-Ft Worth TX,Basic,Apple TV,2025-03-01,true
426,Hartford CT,Basic,iPhone,2025-01-02,true
427,Baltimore MD,Standard,Samsung TV,2023-12-05,true
428,Nashville TN,Standard,Web browser,2024-01-26,true
429,Providence RI,Basic,Samsung TV,2022-10-02,false
430,Minneapolis MN,Standard,iPhone,2025-08-02,true
431,Boston MA,Standard,Roku,2025-06-18,true
432,Minneapolis MN,Standard,Fire TV Stick,2025-12-26,true
433,Nashville TN,Premium,iPad,2023-10-13,true
434,New York NY,Premium,Apple TV,2024-05-08,true
435,Dallas-Ft Worth TX,Standard,Samsung TV,2025-02-26,true
436,New York NY,Basic,iPhone,2023-08-25,true
437,Phoenix AZ,Standard,Roku,2025-01-10,true
438,St Louis MO,Standard,iPhone,2025-10-24,true
439,Boston MA,Basic,Apple TV,2024-04-28,true
440,Atlanta GA,Basic,Fire TV Stick,2024-10-08,true
441,Columbus OH,Basic,Samsung TV,2024-11-26,true
442,Los Angeles CA,Standard,Samsung TV,2024-09-25,true
443,New York NY,Standard,Fire TV Stick,2022-09-14,true
444,Seattle WA,Basic,iPhone,2025-09-21,true
445,Denver CO,Premium,Android phone,2025-06-19,true
446,Detroit MI,Premium,Apple TV,2024-03-19,true
447,Los Angeles CA,Basic,Web browser,2026-06-16,true
448,Columbus OH,Premium,iPhone,2026-01-10,true
449,Denver CO,Basic,iPad,2024-03-17,true
450,Chicago IL,Premium,Roku,2024-06-14,true
451,Columbus OH,Premium Ad-Free,iPad,2023-11-01,true
452,St Louis MO,Basic,Apple TV,2026-03-02,true
453,Seattle WA,Premium,Android phone,2022-12-18,true
454,Providence RI,Premium Ad-Free,iPad,2024-07-22,false
455,Phoenix AZ,Premium,Apple TV,2025-12-27,true
456,Phoenix AZ,Premium Ad-Free,Apple TV,2025-04-23,true
457,New York NY,Standard,Roku,2025-09-03,true
458,Miami FL,Basic,iPhone,2024-09-13,true
459,Nashville TN,Premium,iPad,2024-08-17,true
460,New York NY,Standard,Samsung TV,2024-10-12,true
461,Minneapolis MN,Standard,Fire TV Stick,2024-08-30,true
462,New York NY,Standard,Apple TV,2022-09-24,true
463,Minneapolis MN,Standard,Samsung TV,2022-07-05,true
464,Dallas-Ft Worth TX,Basic,Web browser,2024-07-15,true
465,Providence RI,Premium,Roku,2022-06-29,true
466,Columbus OH,Basic,Apple TV,2023-02-12,true
467,Hartford CT,Premium,Android phone,2023-02-10,true
468,Phoenix AZ,Premium,Fire TV Stick,2025-09-06,true
469,Hartford CT,Standard,Web browser,2024-10-05,true
470,St Louis MO,Standard,Web browser,2025-02-18,false
471,Minneapolis MN,Basic,Samsung TV,2026-03-29,true
472,Nashville TN,Premium Ad-Free,Android phone,2026-05-02,true
473,Dallas-Ft Worth TX,Premium,iPad,2023-12-19,true
474,Seattle WA,Standard,Android phone,2024-11-02,false
475,Miami FL,Basic,Fire TV Stick,2023-02-01,true
476,Portland OR,Basic,Roku,2023-10-07,true
477,Nashville TN,Standard,Apple TV,2026-04-16,true
478,Providence RI,Premium Ad-Free,Fire TV Stick,2023-01-12,true
479,Detroit MI,Premium,Apple TV,2024-07-06,true
480,New York NY,Basic,Android phone,2024-03-17,true
481,Chicago IL,Premium,iPhone,2022-06-25,true
482,Nashville TN,Standard,Fire TV Stick,2023-11-21,true
483,Chicago IL,Premium,Roku,2026-07-24,true
484,Portland OR,Basic,Fire TV Stick,2025-11-21,true
485,Seattle WA,Standard,Samsung TV,2024-10-24,true
486,Philadelphia PA,Premium,iPad,2026-07-01,true
487,Los Angeles CA,Basic,Apple TV,2025-12-07,true
